date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-09-23,kyobo,general_best,1,새창보기 아이콘새창보기,,,,,,S000220308313,https://product.kyobobook.co.kr/detail/S000220308313
2026-09-23,kyobo,general_best,2,새창보기 아이콘새창보기,,,,,,S000220587963,https://product.kyobobook.co.kr/detail/S000220587963
2026-09-23,kyobo,general_best,3,새창보기 아이콘새창보기,,,,,,S000221048161,https://product.kyobobook.co.kr/detail/S000221048161
2026-09-23,kyobo,general_best,4,새창보기 아이콘새창보기,,,,,,S000000620195,https://product.kyobobook.co.kr/detail/S000000620195
2026-09-23,kyobo,general_best,5,새창보기 아이콘새창보기,,,,,,S000219446244,https://product.kyobobook.co.kr/detail/S000219446244
2026-09-23,kyobo,general_best,6,새창보기 아이콘새창보기,,,,,,S000220636999,https://product.kyobobook.co.kr/detail/S000220636999
2026-09-23,kyobo,general_best,7,새창보기 아이콘새창보기,,,,,,S000221075112,https://product.kyobobook.co.kr/detail/S000221075112
2026-09-23,kyobo,general_best,8,새창보기 아이콘새창보기,,,,,,S000220693844,https://product.kyobobook.co.kr/detail/S000220693844
2026-09-23,kyobo,general_best,9,새창보기 아이콘새창보기,,,,,,S000221231718,https://product.kyobobook.co.kr/detail/S000221231718
2026-09-23,kyobo,general_best,10,새창보기 아이콘새창보기,,,,,,S000221255753,https://product.kyobobook.co.kr/detail/S000221255753
2026-09-23,kyobo,general_best,11,새창보기 아이콘새창보기,,,,,,S000221248222,https://product.kyobobook.co.kr/detail/S000221248222
2026-09-23,kyobo,general_best,12,새창보기 아이콘새창보기,,,,,,S000220843924,https://product.kyobobook.co.kr/detail/S000220843924
2026-09-23,kyobo,general_best,13,새창보기 아이콘새창보기,,,,,,S000218278239,https://product.kyobobook.co.kr/detail/S000218278239
2026-09-23,kyobo,general_best,14,새창보기 아이콘새창보기,,,,,,S000001632467,https://product.kyobobook.co.kr/detail/S000001632467
2026-09-23,kyobo,general_best,15,새창보기 아이콘새창보기,,,,,,S000220307771,https://product.kyobobook.co.kr/detail/S000220307771
2026-09-23,kyobo,general_best,16,새창보기 아이콘새창보기,,,,,,S000212414274,https://product.kyobobook.co.kr/detail/S000212414274
