date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-06-16,audible_us,best_sellers,1,Dungeon Crawler Carl,Matt Dinniman,,,,59325,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-06-16,audible_us,best_sellers,2,The Calamity Club,Kathryn Stockett,,,,2324,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-06-16,audible_us,best_sellers,3,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,7705,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-06-16,audible_us,best_sellers,4,Project Hail Mary,Andy Weir,,,,297236,B08G9PRS1K,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K
2026-06-16,audible_us,best_sellers,5,Theo of Golden,Allen Levi,,,,22715,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-06-16,audible_us,best_sellers,6,The Divorce,Freida McFadden,,,,3184,B0GL9NBTV4,https://www.audible.com/pd/The-Divorce-Audiobook/B0GL9NBTV4
2026-06-16,audible_us,best_sellers,7,Carl's Doomsday Scenario,Matt Dinniman,,,,34352,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-06-16,audible_us,best_sellers,8,Whistler,Ann Patchett,,,,581,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
2026-06-16,audible_us,best_sellers,9,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,33433,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-06-16,audible_us,best_sellers,10,A Parade of Horribles,Matt Dinniman,,,,18719,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-06-16,audible_us,best_sellers,11,The Gate of the Feral Gods,Matt Dinniman,,,,27609,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-06-16,audible_us,best_sellers,12,The Deal,Elle Kennedy,,,,5344,B01496UFPA,https://www.audible.com/pd/The-Deal-Audiobook/B01496UFPA
2026-06-16,audible_us,best_sellers,13,The Butcher's Masquerade,Matt Dinniman,,,,30217,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-06-16,audible_us,best_sellers,14,Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),J.K. Rowling,,,,15297,B0F14RPXHR,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Full-Cast-Edition-Audiobook/B0F14RPXHR
2026-06-16,audible_us,best_sellers,15,The Eye of the Bedlam Bride,Matt Dinniman,,,,21152,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-06-16,audible_us,best_sellers,16,Harry Potter and the Deathly Hallows (Full-Cast Edition),J.K. Rowling,,,,3375,B0F14RVHWN,https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Full-Cast-Edition-Audiobook/B0F14RVHWN
2026-06-16,audible_us,best_sellers,17,This Inevitable Ruin,Matt Dinniman,,,,27884,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-06-16,audible_us,best_sellers,18,The Correspondent,Virginia Evans,,,,26179,B0DG3SGZYN,https://www.audible.com/pd/The-Correspondent-Audiobook/B0DG3SGZYN
2026-06-16,audible_us,best_sellers,19,Mad Mabel,Sally Hepworth,,,,3117,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-06-16,audible_us,best_sellers,20,The Mistake,Elle Kennedy,,,,3956,B01496V4NM,https://www.audible.com/pd/The-Mistake-Audiobook/B01496V4NM
2026-06-16,audible_us,best_sellers,21,Harry Potter and the Chamber of Secrets (Full-Cast Edition),J.K. Rowling,,,,6558,B0F154ZCSN,https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Full-Cast-Edition-Audiobook/B0F154ZCSN
2026-06-16,audible_us,best_sellers,22,The Let Them Theory,Mel Robbins,,,,28214,B0DFMX1RT8,https://www.audible.com/pd/The-Let-Them-Theory-Audiobook/B0DFMX1RT8
