date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-06-29,aladin,ebook_best,1,[트룹런던] 포인트 형광 라벨,,,,,,316120740,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316120740
2026-06-29,aladin,ebook_best,2,롱인덱스,,,,,,316120692,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316120692
2026-06-29,aladin,ebook_best,3,롱숏 혼합 + 롱 인덱스,,,,,,316494073,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316494073
2026-06-29,aladin,ebook_best,4,본투리드 초저점도 3색 볼펜 0.7mm,,,,,,312244903,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=312244903
2026-06-29,aladin,ebook_best,5,제인 오스틴 민트 블루(1자루),,,,,,312244981,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=312244981
2026-06-29,aladin,ebook_best,6,민트 블루+그레이,,,,,,317938117,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=317938117
2026-06-29,aladin,ebook_best,7,본투리드 북엔드,,,,,,388439261,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439261
2026-06-29,aladin,ebook_best,8,니체,,,,,,388439392,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439392
2026-06-29,aladin,ebook_best,9,비트겐슈타인,,,,,,388439494,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439494
2026-06-29,aladin,ebook_best,10,사르트르,,,,,,388439320,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439320
2026-06-29,aladin,ebook_best,11,쇼펜하우어,,,,,,388439586,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439586
2026-06-29,aladin,ebook_best,12,칸트,,,,,,388439855,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388439855
2026-06-29,aladin,ebook_best,13,체크박스 마스킹 테이프,,,,,,289984974,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=289984974
2026-06-29,aladin,ebook_best,14,레드,,,,,,388563841,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388563841
2026-06-29,aladin,ebook_best,15,블루,,,,,,388563920,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388563920
2026-06-29,aladin,ebook_best,16,블랙+블루+레드,,,,,,393718466,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393718466
2026-06-29,aladin,ebook_best,17,감쪽같은 수정 테이프 (총6m),,,,,,263349347,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263349347
2026-06-29,aladin,ebook_best,18,복사용지색,,,,,,263349381,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263349381
2026-06-29,aladin,ebook_best,19,3헤드 접이식 무선 클립 독서등,,,,,,370285040,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370285040
2026-06-29,aladin,ebook_best,20,[윤예지 x 알라딘] 자수 북커버,,,,,,390821591,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390821591
2026-06-29,aladin,ebook_best,21,책 읽는 부엉이,,,,,,390821427,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390821427
