date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-07-12,yes24,ebook_best,1,신 퇴마록 신세편 1,이우혁 저,반타,,8.9,,192498124,https://www.yes24.com/product/goods/192498124
2026-07-12,yes24,ebook_best,2,2026 에듀윌 SKCT 통합 기본서,에듀윌 취업연구소 편저,에듀윌,,10.0,,182958763,https://www.yes24.com/product/goods/182958763
2026-07-12,yes24,ebook_best,3,부의 갈림길,오건영 저,포레스트북스,,9.9,,192552274,https://www.yes24.com/product/goods/192552274
2026-07-12,yes24,ebook_best,4,신 퇴마록 신세편 2,이우혁 저,반타,,8.0,,192498122,https://www.yes24.com/product/goods/192498122
2026-07-12,yes24,ebook_best,5,이지패스 2026 ADsP 데이터분석 준전문가 (수험서 앱 제공),"전용문 , 박현민 저",위키북스,,9.9,,168559417,https://www.yes24.com/product/goods/168559417
2026-07-12,yes24,ebook_best,6,신 퇴마록 신세편 3,이우혁 저,반타,,8.7,,192498123,https://www.yes24.com/product/goods/192498123
2026-07-12,yes24,ebook_best,7,내면 근력,짐 머피 저/ 지여울 역,윌북(willbook),,9.4,,187571975,https://www.yes24.com/product/goods/187571975
2026-07-12,yes24,ebook_best,8,EBS 라디오 입이 트이는 영어 2026년 7월호,이현석 저,동아출판,,10.0,,192669699,https://www.yes24.com/product/goods/192669699
2026-07-12,yes24,ebook_best,9,코스모스,칼 에드워드 세이건 저,사이언스북스,,9.6,,38003831,https://www.yes24.com/product/goods/38003831
2026-07-12,yes24,ebook_best,10,니체의 초월자,프리드리히 니체 저/ 김철 편역,히읏,,9.8,,177150859,https://www.yes24.com/product/goods/177150859
2026-07-12,yes24,ebook_best,11,"매일성경[개역개정] 2026년 7-8월호(시편 1-15편, 이사야 1-39장)",성서유니온 편집부,성서유니온,,10.0,,191190609,https://www.yes24.com/product/goods/191190609
2026-07-12,yes24,ebook_best,12,싯다르타 - 세계문학전집 58,헤르만 헤세 저,민음사,,9.5,,11932323,https://www.yes24.com/product/goods/11932323
2026-07-12,yes24,ebook_best,13,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절 저/ 이지연 역,인플루엔셜,,9.4,,174055588,https://www.yes24.com/product/goods/174055588
2026-07-12,yes24,ebook_best,14,주식 투자를 잘한다는 것,육과장 저,노티스,,9.8,,188705156,https://www.yes24.com/product/goods/188705156
2026-07-12,yes24,ebook_best,15,2026 해커스 SKCT SK그룹 종합역량검사 통합 기본서 최신기출유형+실전모의고사,해커스 SKCT 취업교육연구소 저,해커스잡,,10.0,,182806642,https://www.yes24.com/product/goods/182806642
2026-07-12,yes24,ebook_best,16,안녕이라 그랬어,김애란 저,문학동네,,9.6,,147709913,https://www.yes24.com/product/goods/147709913
2026-07-12,yes24,ebook_best,17,프로젝트 헤일메리,앤디 위어 저/ 강동혁 역,알에이치코리아(RHK),,9.7,,101619655,https://www.yes24.com/product/goods/101619655
2026-07-12,yes24,ebook_best,18,EBS 라디오 POWER ENGLISH 2026년 7월호,크리스틴 조 저,동아출판,,10.0,,192669701,https://www.yes24.com/product/goods/192669701
2026-07-12,yes24,ebook_best,19,홍학의 자리,정해연 저,엘릭시르,,9.2,,102815837,https://www.yes24.com/product/goods/102815837
2026-07-12,yes24,ebook_best,20,레바논의 시내,제시카 윤 저,규장,,9.9,,193592014,https://www.yes24.com/product/goods/193592014
2026-07-12,yes24,ebook_best,21,2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),해커스 GSAT 취업교육연구소 저,해커스잡,,9.8,,173236210,https://www.yes24.com/product/goods/173236210
2026-07-12,yes24,ebook_best,22,[세트] 눈물을 마시는 새 (총4권),이영도 저,황금가지,,10.0,,118841035,https://www.yes24.com/product/goods/118841035
2026-07-12,yes24,ebook_best,23,단둥프로젝트,"김미영 , 로이킴 저",세이지,,10.0,,193368426,https://www.yes24.com/product/goods/193368426
2026-07-12,yes24,ebook_best,24,2026 렛유인 온라인 SKCT SK그룹 종합역량검사 독학단기완성 통합기본서,"주영훈 , 렛유인연구소 , 박은숙 , 송정원 , 최윤지 저",렛유인,,10.0,,179603237,https://www.yes24.com/product/goods/179603237
2026-07-12,yes24,ebook_best,25,이병한의 대한민국 탐문,이병한 저,서해문집,,8.7,,193358887,https://www.yes24.com/product/goods/193358887
2026-07-12,yes24,ebook_best,26,브람스를 좋아하세요… - 세계문학전집 179,프랑수아즈 사강 저/ 김남주 역,민음사,,9.1,,61791527,https://www.yes24.com/product/goods/61791527
2026-07-12,yes24,ebook_best,27,코딩하는 CEO,챗사피엔스 저,작가와,,10.0,,193137476,https://www.yes24.com/product/goods/193137476
2026-07-12,yes24,ebook_best,28,괴테는 모든 것을 말했다,스즈키 유이 저/ 이지수 역,리프,,8.7,,166468148,https://www.yes24.com/product/goods/166468148
2026-07-12,yes24,ebook_best,29,말하지 않고 말하기,김정운 저,21세기북스,,9.7,,190842017,https://www.yes24.com/product/goods/190842017
