date,platform,chart,rank,title,author,publisher,category,rating,review_count,product_id,url
2026-07-26,audible_us,best_sellers,1,The Calamity Club,Kathryn Stockett,,,,9815,B0FTBK545H,https://www.audible.com/pd/The-Calamity-Club-Audiobook/B0FTBK545H
2026-07-26,audible_us,best_sellers,2,The Odyssey,Homer,,,,4662,B07GLN33S8,https://www.audible.com/pd/The-Odyssey-Audiobook/B07GLN33S8
2026-07-26,audible_us,best_sellers,3,Dungeon Crawler Carl,Matt Dinniman,,,,63948,B08V8B2CGV,https://www.audible.com/pd/Dungeon-Crawler-Carl-Audiobook/B08V8B2CGV
2026-07-26,audible_us,best_sellers,4,Theo of Golden,Allen Levi,,,,27554,B0FTT6KFKR,https://www.audible.com/pd/Theo-of-Golden-Audiobook/B0FTT6KFKR
2026-07-26,audible_us,best_sellers,5,Carl's Doomsday Scenario,Matt Dinniman,,,,36629,B0934GTSGT,https://www.audible.com/pd/Carls-Doomsday-Scenario-Audiobook/B0934GTSGT
2026-07-26,audible_us,best_sellers,6,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,,35448,B094XCNV6G,https://www.audible.com/pd/The-Dungeon-Anarchists-Cookbook-Audiobook/B094XCNV6G
2026-07-26,audible_us,best_sellers,7,Yesteryear: A GMA Book Club Pick,Caro Claire Burke,,,,12716,B0FKV9JSWV,https://www.audible.com/pd/Yesteryear-A-GMA-Book-Club-Pick-Audiobook/B0FKV9JSWV
2026-07-26,audible_us,best_sellers,8,The Gate of the Feral Gods,Matt Dinniman,,,,29203,B09GCYRZRQ,https://www.audible.com/pd/The-Gate-of-the-Feral-Gods-Audiobook/B09GCYRZRQ
2026-07-26,audible_us,best_sellers,9,Project Hail Mary,Andy Weir,,,,305242,B08G9PRS1K,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K
2026-07-26,audible_us,best_sellers,10,The Butcher's Masquerade,Matt Dinniman,,,,31806,B09ZJ82C7Y,https://www.audible.com/pd/The-Butchers-Masquerade-Audiobook/B09ZJ82C7Y
2026-07-26,audible_us,best_sellers,11,Mad Mabel,Sally Hepworth,,,,6912,B0F9M49CKG,https://www.audible.com/pd/Mad-Mabel-Audiobook/B0F9M49CKG
2026-07-26,audible_us,best_sellers,12,The Eye of the Bedlam Bride,Matt Dinniman,,,,22464,B0CDXWSS5D,https://www.audible.com/pd/The-Eye-of-the-Bedlam-Bride-Audiobook/B0CDXWSS5D
2026-07-26,audible_us,best_sellers,13,A Parade of Horribles,Matt Dinniman,,,,24085,B0FXY6DVJS,https://www.audible.com/pd/A-Parade-of-Horribles-Audiobook/B0FXY6DVJS
2026-07-26,audible_us,best_sellers,14,This Inevitable Ruin,Matt Dinniman,,,,29059,B0DK282SYV,https://www.audible.com/pd/This-Inevitable-Ruin-Audiobook/B0DK282SYV
2026-07-26,audible_us,best_sellers,15,Whistler,Ann Patchett,,,,4083,B0FWG3S57F,https://www.audible.com/pd/Whistler-Audiobook/B0FWG3S57F
2026-07-26,audible_us,best_sellers,16,Harry Potter and the Sorcerer’s Stone (Full-Cast Edition),J.K. Rowling,,,,16149,B0F14RPXHR,https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Full-Cast-Edition-Audiobook/B0F14RPXHR
2026-07-26,audible_us,best_sellers,17,The Reversal,Michael Connelly,,,,12175,B0043BFH9G,https://www.audible.com/pd/The-Reversal-Audiobook/B0043BFH9G
2026-07-26,audible_us,best_sellers,18,Regime Change,Maggie Haberman,,,,1657,B0GW7H3MNW,https://www.audible.com/pd/Regime-Change-Audiobook/B0GW7H3MNW
2026-07-26,audible_us,best_sellers,19,The Let Them Theory,Mel Robbins,,,,28812,B0DFMX1RT8,https://www.audible.com/pd/The-Let-Them-Theory-Audiobook/B0DFMX1RT8
2026-07-26,audible_us,best_sellers,20,The Divorce,Freida McFadden,,,,6288,B0GL9NBTV4,https://www.audible.com/pd/The-Divorce-Audiobook/B0GL9NBTV4
2026-07-26,audible_us,best_sellers,21,The Correspondent,Virginia Evans,,,,28459,B0DG3SGZYN,https://www.audible.com/pd/The-Correspondent-Audiobook/B0DG3SGZYN
2026-07-26,audible_us,best_sellers,22,Harry Potter and the Deathly Hallows (Full-Cast Edition),J.K. Rowling,,,,4780,B0F14RVHWN,https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Full-Cast-Edition-Audiobook/B0F14RVHWN
2026-07-26,audible_us,best_sellers,23,Harry Potter and the Chamber of Secrets (Full-Cast Edition),J.K. Rowling,,,,7093,B0F154ZCSN,https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Full-Cast-Edition-Audiobook/B0F154ZCSN
2026-07-26,audible_us,best_sellers,24,Harry Potter and the Goblet of Fire (Full-Cast Edition),J.K. Rowling,,,,5470,B0F14PB6WN,https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Full-Cast-Edition-Audiobook/B0F14PB6WN
2026-07-26,audible_us,best_sellers,25,The Primal Hunter 15,Zogarth,,,,,B0H8ZSFTG9,https://www.audible.com/pd/The-Primal-Hunter-15-Audiobook/B0H8ZSFTG9
2026-07-26,audible_us,best_sellers,26,Harry Potter and the Prisoner of Azkaban (Full-Cast Edition),J.K. Rowling,,,,6151,B0F14PK33J,https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Full-Cast-Edition-Audiobook/B0F14PK33J
2026-07-26,audible_us,best_sellers,27,Haunting Adeline,H. D. Carlton,,,,841,B0GJ6Y7NJ7,https://www.audible.com/ac/Haunting-Adeline-Audiobook/B0GJ6Y7NJ7
2026-07-26,audible_us,best_sellers,28,Harry Potter and the Half-Blood Prince (Full-Cast Edition),J.K. Rowling,,,,4056,B0F14KKPH6,https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Full-Cast-Edition-Audiobook/B0F14KKPH6
2026-07-26,audible_us,best_sellers,29,Harry Potter and the Order of the Phoenix (Full-Cast Edition),J.K. Rowling,,,,4705,B0F14P2632,https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Full-Cast-Edition-Audiobook/B0F14P2632
2026-07-26,audible_us,best_sellers,30,Red Rising,Pierce Brown,,,,80842,B00I2VWW5U,https://www.audible.com/pd/Red-Rising-Audiobook/B00I2VWW5U
2026-07-26,audible_us,best_sellers,31,The Iliad,Homer,,,,692,B0CJGNKFDQ,https://www.audible.com/pd/The-Iliad-Audiobook/B0CJGNKFDQ
2026-07-26,audible_us,best_sellers,32,The Odyssey,Homer,,,,3997,B002UZMUZG,https://www.audible.com/pd/The-Odyssey-Audiobook/B002UZMUZG
2026-07-26,audible_us,best_sellers,33,Dolly All the Time: A GMA Book Club Pick,Annabel Monaghan,,,,2647,B0FPGN9D2Y,https://www.audible.com/pd/Dolly-All-the-Time-Audiobook/B0FPGN9D2Y
